All,"Tất Cả"
"Your current session is terminated by another user of this account.","Phiên hiện tại của bạn chấm dứt bởi người dùng khác của tài khoản này."
"Your current session has been expired.","Phiên hiện tại của bạn đã bị hết hạn."
"By IP and Email","Bởi IP và Email"
"By IP","Bởi IP"
"By Email","Bằng Email"
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Lớp kiểm tra an ninh không chính xác. Nó có để thực hiện giao diện kiểm tra an ninh"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Tài khoản người quản trị này được mở trong nhiều hơn một vị trí. Lưu ý rằng các địa điểm khác có thể thực hiện trên cùng một máy tính hoặc trình duyệt khác nhau."
"Concurrent session information:","Phiên đồng thời truyền hình thông tin:"
"Time of session start","Thời gian bắt đầu phiên làm việc"
"Are you sure that you want to log out all other sessions?","Bạn có chắc chắn muốn đăng xuất tất cả các phiên làm việc khác không?"
"Log out all other sessions","Đăng xuất trong tất cả các buổi khác"
"This computer is using IP address %1.","Máy tính này là sử dụng địa chỉ IP %1."
"Admin Account Sharing","Chia sẻ Tài khoản quản trị"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Nếu thiết lập để có, bạn có thể đăng nhập từ nhiều máy tính vào cùng một tài khoản. Mặc định thiết lập không cải thiện an ninh."
"Password Reset Protection Type","Loại hình bảo vệ đặt lại mật khẩu"
"Max Number of Password Reset Requests","Tối đa số lượng yêu cầu đặt lại mật khẩu"
"Limit the number of password reset request per hour. Use 0 to disable.","Giới hạn số lượng yêu cầu đặt lại mật khẩu mỗi giờ. Sử dụng 0 để vô hiệu hóa."
"Min Time Between Password Reset Requests","Phút thời gian giữa yêu cầu đặt lại mật khẩu"
"Delay in minutes between password reset requests. Use 0 to disable.","Trfi hoãn vài phút giữa các yêu cầu đặt lại mật khẩu. Sử dụng 0 để vô hiệu hóa."
"You can't send messages more than %1 times an hour.","Bạn không thể gửi tin nhắn nhiều hơn %1 lần một giờ."
"The link to a friend was sent.","Các liên kết đến một người bạn đã được gửi."
"We found some problems with the data.","Chúng tôi tìm thấy một số vấn đề với dữ liệu."
"Some emails were not sent.","Một số email chưa được gửi."
"You've met your limit of %1 sends in an hour.","Bạn đã đạt giới hạn %1 lần gửi trong một giờ."
"Please enter a sender name.","Vui lòng nhập một tên người gửi."
"Invalid Sender Email","Email người gửi không hợp lệ"
"Please enter a message.","Vui lòng nhập một tin nhắn."
"Please specify at least one recipient.","Hãy chỉ ra ít nhất một người nhận."
"Please enter a correct recipient email address.","Vui lòng nhập một địa chỉ email người nhận chính xác."
"No more than %1 emails can be sent at a time.","Không có nhiều hơn %1 email có thể được gửi tại một thời điểm."
"Please define a correct product instance.","Xin vui lòng xác định một trường hợp sản phẩm đúng."
"Invalid Sender Information","Thông tin người gửi không hợp lệ"
"Please define the correct sender information.","Xin vui lòng xác định chính xác thông tin người gửi."
"Cookie (unsafe)","Cookie (không an toàn)"
"Remove Recipent","Xoá người nhận"
"Welcome, %name","Chào mừng,%name"
"%sender_name wants to share this product with you:","%sender_name muốn chia sẻ sản phẩm này với bạn:"
"Select Email Template","Chọn mẫu Email"
"Allow for Guests","Cho phép cho khách"
"Max Recipients","Người nhận tối đa"
"Max Products Sent in 1 Hour","Tối đa số sản phẩm gửi trong 1 giờ"
"Limit Sending By","Giới hạn gửi bởi"
Assign,"Chỉ định"
of,của
Assigned,"Chỉ định"
"New Shipment for Order #%1","Các lô hàng mới cho đơn đặt hàng #%1"
"Submit Shipment","Gửi hàng"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Bạn đang cố gắng để thêm một số lượng cho một số sản phẩm không phù hợp với số lượng đã được chuyển."
"The value that you entered is not valid.","Giá trị mà bạn đưa vào là không hợp lệ."
"Add Tracking Number","Thêm số theo dõi"
"Send Tracking Information","Gửi thông tin theo dõi"
"Are you sure you want to send a Shipment email to customer?","Bạn có chắc bạn muốn gửi một email hàng cho khách hàng?"
"the shipment email was sent","email lô hàng đã được gửi"
"the shipment email is not sent","email lô hàng không được gửi"
"Shipment #%1 | %3 (%2)","Lô hàng #%1 | %3 (%2)"
"Create Shipping Label...","Tạo vận nhãn chuyển..."
"Delivered on:","Gửi vào:"
"About Your Shipment","Về lô hàng của bạn"
"We can't initialize shipment for adding tracking number.","Chúng tôi không thể khởi tạo thêm các các lô hàng để thêm các số theo dõi."
"Cannot add tracking number.","Không thể thêm số theo dõi."
"You created the shipping label.","Bạn đã tạo ra một nhãn vận chuyển."
"An error occurred while creating shipping label.","Lỗi xảy ra trong khi tạo ra vận chuyển nhãn."
"You sent the shipment.","Bạn gửi hàng."
"Cannot send shipment information.","Không thể gửi thông tin lô hàng."
"There are no shipping labels related to selected orders.","Không có nhãn vận chuyển liên quan đến đơn đặt hàng đã chọn."
"New Shipment","Lô hàng mới"
"We don't recognize or support the file extension in this shipment: %1.","Không nhận ra hoặc không hỗ trợ định dạng tệp tin trong lô hàng này: %1."
"We can't initialize shipment for delete tracking number.","Chúng tôi không thể khởi tạo các lô hàng cho xóa số theo dõi."
"We can't delete tracking number.","Không thể xóa số theo dõi."
"We can't save the shipment right now.","Hiện tại không lưu được yêu cầu vận chuyển."
"The shipment has been created.","Lô hàng đã được tạo ra."
"Cannot save shipment.","Không thể lưu vận chuyển."
"Cannot do shipment for the order separately from invoice.","Không thể vận chuyển đơn đặt hàng một cách riêng biệt từ hoá đơn."
"Cannot do shipment for the order.","Không thể vận chuyển cho đơn đặt hàng."
"There are no shipping labels related to selected shipments.","Không có nhãn vận chuyển liên quan đến các lô hàng được lựa chọn."
"Sorry, but we can't deliver to the destination country with this shipping module.","Xin lỗi, nhưng chúng tôi không thể gửi hàng đến quốc gia này."
"The shipping module is not available.","Các mô-đun vận chuyển không có sẵn."
"This shipping method is not available. Please specify the zip code.","Phương pháp vận chuyển này không có sẵn. Hãy chỉ ra các mã zip."
Development,"Phát triển"
Live,"Trực tiếp"
"Divide to equal weight (one request)","Phân chia để trọng lượng bằng nhau (một yêu cầu)"
"Use origin weight (few requests)","Sử dụng trọng lượng gốc (vài yêu cầu)"
"Signature Confirmation","Xác nhận chữ ký"
Contents,"Nội dung"
Girth,"Chu vi"
"Shipping labels is not available.","Nhãn Vận chuyển là không có sẵn."
"Response info is not exist.","Thông tin phản ứng không tồn tại."
"Per Package","Mỗi gói phần mềm"
"Tracking information is unavailable.","Theo dõi thông tin không có sẵn."
"Items to Ship","Các mặt hàng để vận chuyển"
"Qty to Ship","Số lượng vận chuyển"
"Shipment Total","Tổng số lô hàng"
"Shipment Options","Lựa chọn lô hàng"
"Email Copy of Shipment","Email bản sao của lô hàng"
"Invalid value(s) for Qty to Ship","Giá trị không hợp lệ cho số lượng vận chuyển"
"Add Selected Product(s) to Package","Thêm sản phẩm được lựa chọn vào gói"
"Add Products to Package","Thêm sản phẩm vào gói"
"USPS domestic shipments don't use package types.","USPS lô hàng nội địa không sử dụng các loại gói này."
in,trong
"Delete Package","Xóa gói"
Explanation,"Lời giải thích"
"Shipping &amp; Handling Information","Vận chuyển &amp; xử lý thông tin"
"Track Order","Theo dõi các đơn đặt hàng"
"Items Shipped","Hàng vận chuyển"
"Shipment History","Lịch sử vận chuyển"
"Print All Shipments","In tất cả các vận chuyển"
"Shipment #","Lô hàng #"
"Print Shipment","In lô hàng"
"Tracking Number(s):","Số Theo dõi:"
"Order tracking","Thứ tự theo dõi"
"Tracking Number:","Số theo dõi:"
Carrier:,"Đơn vị vận chuyển:"
"Tracking information is currently not available. Please ","Thông tin Theo dõi là hiện nay không có sẵn. Vui lòng "
"contact us","liên hệ với chúng tôi"
" for more information or "," để biết thêm thông tin hoặc "
"email us at ","gửi email cho chúng tôi tại "
Info:,"Thông tin:"
Track:,"Theo dõi:"
"There is no tracking available for this shipment.","Không Có sẵn theo dõi cho lô hàng này."
"There is no tracking available.","Đó là theo dõi không có sẵn."
"Track history","Theo dõi lịch sử"
"Local Time","Thời gian địa phương"
"See our Shipping Policy","Xem chính sách vận chuyển của chúng tôi"
"Shipping Settings Section","Phần cài đặt vận chuyển"
"Shipping Policy Parameters Section","Phần tham số chính sách Vận chuyển"
"Shipping Settings","Cài đặt Vận chuyển"
Origin,"Nguồn gốc"
"Shipping Policy Parameters","Các thông số chính sách vận chuyển"
"Apply custom Shipping Policy","Áp dụng tuỳ chỉnh chính sách vận chuyển"
"Shipping Policy","Chính sách vận chuyển"
"Save & Generate","Lưu trữ & tạo"
"Edit Sitemap","Chỉnh sửa sơ đồ trang web"
"New Sitemap","Sơ đồ trang web mới"
"Sitemap Information","Thông tin Sơ đồ trang web"
Sitemap,"Sơ đồ trang web"
Filename,"Tên file"
"example: sitemap.xml","ví dụ: sitemap.xml"
"Add Sitemap","Thêm sơ đồ trang web"
"You deleted the sitemap.","Bạn đã xoá sơ đồ trang web."
"We can't find a sitemap to delete.","Chúng tôi không thể tìm thấy một sơ đồ trang web để xóa."
"This sitemap no longer exists.","Sơ đồ trang web này không còn tồn tại."
"Site Map","Bản đồ trang web"
"New Site Map","Bản đồ trang web mới"
"The sitemap ""%1"" has been generated.","Sơ đồ trang web ""%1"" đã được tạo ra."
"We can't generate the sitemap right now.","Chúng ta không thể tạo ra sơ đồ trang web ngay bây giờ."
"We can't find a sitemap to generate.","Chúng tôi không thể tìm thấy một sơ đồ trang web để khởi tạo."
"You saved the sitemap.","Bạn đã lưu sơ đồ trang web."
"The priority must be between 0 and 1.","Ưu tiên phải giữa 0 và 1."
Yearly,"Hàng năm"
"File handler unreachable","Xử lý tập tin không thể kết nối"
"Please define a correct path.","Xin vui lòng xác định một đường dẫn chính xác."
"Please create the specified folder ""%1"" before saving the sitemap.","Hãy tạo ra các thư mục được chỉ định ""%1"" trước khi lưu sơ đồ trang web."
"Please make sure that ""%1"" is writable by the web-server.","Hãy chắc chắn rằng ""%1"" được ghi bởi các máy chủ web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Xin vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z), số (0-9) hoặc dấu gạch dưới (_) trong tên tập tin. Không có dấu cách hoặc ký tự khác được cho phép."
